category,method,path,base_url,summary,tags,deprecated,official_docs
performance,GET,/api/client/campaign,https://api-performance.ozon.ru:443,Список кампаний,Campaign; Кампании и рекламируемые объекты,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/campaign/all_sku_promo/activate,https://api-performance.ozon.ru:443,Включить продвижение в оплате за заказ — все товары,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/campaign/all_sku_promo/deactivate,https://api-performance.ozon.ru:443,Выключить продвижение в оплате за заказ — все товары,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/campaign/all_sku_promo/set_bid,https://api-performance.ozon.ru:443,Установить ставку для продвижения в Оплате за заказ — все товары,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/cpc/v2/product,https://api-performance.ozon.ru:443,Создать кампанию с оплатой за клики,Ad; Оплата за клик,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/search_promo/carrots/disable,https://api-performance.ozon.ru:443,Отключить продвижение товаров в акции «Морковск»,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/search_promo/carrots/enable,https://api-performance.ozon.ru:443,Включить продвижение товаров в акции «Морковск»,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/search_promo/v2/bids/delete,https://api-performance.ozon.ru:443,Удалить товар из продвижения в оплате за заказ,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/search_promo/v2/bids/set,https://api-performance.ozon.ru:443,Установить ставку на товар,Search-Promo; Оплата за заказ,True,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/search_promo/v2/products,https://api-performance.ozon.ru:443,Список товаров в продвижении в оплате за заказ,Search-Promo; Оплата за заказ,False,https://docs.ozon.ru/api/performance/
performance,PATCH,/api/client/campaign/{campaignId},https://api-performance.ozon.ru:443,Параметры кампании,Ad; Edit; Оплата за клик,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/{campaignId}/activate,https://api-performance.ozon.ru:443,Активировать кампанию,Ad; Edit; Оплата за клик,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/{campaignId}/deactivate,https://api-performance.ozon.ru:443,Выключить кампанию,Ad; Edit; Оплата за клик,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/campaign/{campaignId}/objects,https://api-performance.ozon.ru:443,Список продвигаемых объектов в кампании,Campaign; Кампании и рекламируемые объекты,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/{campaignId}/products,https://api-performance.ozon.ru:443,Добавить товары в кампанию,Product; Товары в Оплате за клик,False,https://docs.ozon.ru/api/performance/
performance,PUT,/api/client/campaign/{campaignId}/products,https://api-performance.ozon.ru:443,Обновить ставки товаров,Product; Товары в Оплате за клик,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/campaign/{campaignId}/products/bids/competitive,https://api-performance.ozon.ru:443,Конкурентные ставки для товара,Product; Товары в Оплате за клик,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/campaign/{campaignId}/products/delete,https://api-performance.ozon.ru:443,Удалить товары из кампании,Product; Товары в Оплате за клик,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/campaign/{campaignId}/v2/products,https://api-performance.ozon.ru:443,Список товаров кампании,Product; Товары в Оплате за клик,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/limits/list,https://api-performance.ozon.ru:443,Лимиты ставок для инструментов продвижения,Campaign; Кампании и рекламируемые объекты,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/min/sku,https://api-performance.ozon.ru:443,Минимальная ставка для товаров по SKU,Campaign; Кампании и рекламируемые объекты,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/organisation/vendor_tag,https://api-performance.ozon.ru:443,Метка организации для внешних рекламных кампаний,Vendor; Аналитика внешнего трафика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/products_with_bonuses,https://api-performance.ozon.ru:443,Список товаров с бонусами,Campaign; Кампании и рекламируемые объекты,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/search_promo/bids/recommendation,https://api-performance.ozon.ru:443,Рекомендованные ставки для товаров,Search-Promo; Оплата за заказ,True,https://docs.ozon.ru/api/performance/
