category,method,path,base_url,summary,tags,deprecated,official_docs
partner-api,POST,/v1/businesses/{businessId}/goods-feedback-advertiser,https://api.partner.market.yandex.ru,Получение отзывов о товарах для рекламодателей,goods-feedback; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/goods-questions,https://api.partner.market.yandex.ru,Получение вопросов о товарах продавца,goods-questions; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/goods-questions/answers,https://api.partner.market.yandex.ru,Получение ответов на вопрос,goods-questions; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/goods-questions/update,https://api.partner.market.yandex.ru,"Создание, изменение и удаление ответа или комментария",goods-questions; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/logistics-points,https://api.partner.market.yandex.ru,Получение точек ПВЗ Маркета,logistic-points; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/offer-mappings/barcodes/generate,https://api.partner.market.yandex.ru,Генерация штрихкодов,business-offer-mappings; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/offers/documents,https://api.partner.market.yandex.ru,Получение документов,documents; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/offers/documents/create,https://api.partner.market.yandex.ru,Создание документов,documents; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/offers/documents/delete,https://api.partner.market.yandex.ru,Удаление документов,documents; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/offers/documents/update,https://api.partner.market.yandex.ru,Обновление документов,documents; dbs; fby; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/operations,https://api.partner.market.yandex.ru,Получение статусов операций,operations; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/orders,https://api.partner.market.yandex.ru,Информация о заказах в кабинете,orders; fbs; dbs; fby; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/reports/marketing-detalization/generate,https://api.partner.market.yandex.ru,Отчет по счету маркетинга,reports; fby; dbs; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/businesses/{businessId}/returns/decisions,https://api.partner.market.yandex.ru,Получение возможных решений по возврату,returns; dbs; fbs; express; fby,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/delivery-options,https://api.partner.market.yandex.ru,Получение доступных вариантов доставки заказов,delivery-options; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/orders/create,https://api.partner.market.yandex.ru,Создание заказа,orders; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/orders/update,https://api.partner.market.yandex.ru,Изменение заказа,orders; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/orders/update-options,https://api.partner.market.yandex.ru,Получение временных интервалов для изменения заказа,orders; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/return-delivery-options,https://api.partner.market.yandex.ru,Получение подходящих для возврата пунктов выдачи,delivery-options; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/returns/cancel,https://api.partner.market.yandex.ru,Отмена возврата,returns; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/campaigns/{campaignId}/returns/create,https://api.partner.market.yandex.ru,Создание возврата,returns; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v1/reports/documents/barcodes/generate,https://api.partner.market.yandex.ru,Получение файла со штрихкодами,reports; fby; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/auth/token,https://api.partner.market.yandex.ru,Получение информации о токене авторизации,auth; fby; fbs; dbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,PUT,/v2/businesses/{businessId}/bids,https://api.partner.market.yandex.ru,Включение буста продаж и установка ставок,bids; dbs; fbs; fby; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
